,DATE,Actuals,FittedVals,Residuals
0,2015-01-29,18996.96048632219,18952.96011114187,44.00037518031968
1,2015-01-30,19186.49270913277,19011.68282774079,174.8098813919787
2,2015-01-31,19215.98770176787,19180.54028461234,35.447417155530275
3,2015-02-02,19022.25603956629,19219.765267400533,-197.50922783424176
4,2015-02-03,19065.776930409913,19060.221965731205,5.55496467870762
5,2015-02-04,19238.16852635629,19084.89312126414,153.27540509215032
6,2015-02-05,19256.69170036588,19221.77325603718,34.91844432869766
7,2015-02-06,19323.671497584543,19259.281627386747,64.38987019779597
8,2015-02-07,19305.019305019305,19334.45459793817,-29.435292918864434
9,2015-02-08,19443.90433599067,19314.81621984202,129.0881161486468
10,2015-02-09,19301.293186643506,19446.567273243727,-145.27408660022047
11,2015-02-10,19409.937888198758,19316.577465647835,93.36042255092252
12,2015-02-11,19577.13390759593,19425.93222887875,151.20167871717786
13,2015-02-12,19603.99921584003,19562.170524082634,41.82869175739688
14,2015-02-13,19619.383951343927,19609.894208089572,9.489743254354835
15,2015-02-14,19596.31589261219,19633.46382205985,-37.14792944765941
16,2015-02-15,19696.67126255663,19609.066698299266,87.60456425736265
17,2015-02-16,19623.233908948194,19702.84589012069,-79.6119811724966
18,2015-02-17,19611.68856638557,19638.5946915142,-26.906125128632993
19,2015-02-18,19872.81399046105,19636.19119344054,236.62279702051092
20,2015-02-19,19872.81399046105,19860.97627190513,11.837718555922038
21,2015-02-20,19794.140934283452,19872.95516065752,-78.8142263740665
22,2015-02-21,19798.059790140564,19824.753850684985,-26.694060544421518
23,2015-02-22,19677.292404565134,19814.00267634713,-136.71027178199438
24,2015-02-23,19984.012789768185,19697.91716121547,286.0956285527136
25,2015-02-24,19928.258270227183,19974.07891770307,-45.82064747588811
26,2015-02-25,19920.3187250996,19923.123484044667,-2.8047589450652595
27,2015-02-26,19829.466587348797,19950.266791888756,-120.80020453995894
28,2015-02-27,20076.28990162618,19848.252271410052,228.03763021612758
29,2015-02-28,20048.11547714515,20068.336903398515,-20.22142625336346
30,2015-03-01,20036.06491685033,20042.735275605864,-6.670358755534835
31,2015-03-02,19996.000799840032,20059.990499472242,-63.98969963220952
32,2015-03-03,19964.064683569573,20009.075773010805,-45.01108944123189
33,2015-03-04,20032.05128205128,19976.802318957554,55.24896309372707
34,2015-03-05,19809.825673534073,20035.34007486566,-225.51440133158758
35,2015-03-06,19650.22597759874,19833.113599857174,-182.8876222584331
36,2015-03-07,19665.68338249754,19688.925114572376,-23.241732074835454
37,2015-03-08,19665.68338249754,19671.875016958977,-6.191634461436479
38,2015-03-09,19743.336623889438,19667.430286623505,75.90633726593296
39,2015-03-10,19932.230416583614,19746.245702302534,185.9847142810795
40,2015-03-11,19712.201852946975,19920.81710380002,-208.6152508530431
41,2015-03-12,19634.7928529354,19736.120345848754,-101.32749291335494
42,2015-03-13,19496.977968414896,19671.976796453368,-174.9988280384714
43,2015-03-14,19512.19512195122,19511.472516155674,0.7226057955449505
44,2015-03-15,19512.19512195122,19522.757998465942,-10.56287651472303
45,2015-03-16,19592.476489028213,19515.086963772246,77.38952525596687
46,2015-03-17,19440.124416796265,19593.910975696435,-153.78655890017035
47,2015-03-18,19357.336430507163,19457.785124520593,-100.44869401343021
48,2015-03-19,19223.37562475971,19381.86540388691,-158.48977912720147
49,2015-03-20,19470.404984423676,19239.46725809025,230.9377263334245
50,2015-03-21,19493.17738791423,19458.44827654807,34.729111366159486
51,2015-03-22,19523.62358453729,19481.840529156798,41.78305538049244
52,2015-03-23,19379.84496124031,19535.96302548492,-156.11806424461247
53,2015-03-24,19264.110961279137,19396.86076650307,-132.74980522393162
54,2015-03-25,19342.35976789168,19287.27075370681,55.08901418487221
55,2015-03-26,19346.10176049526,19339.25250760315,6.849252892112418
56,2015-03-27,19443.90433599067,19341.557158607877,102.34717738279141
57,2015-03-28,19443.90433599067,19443.27114250539,0.6331934852787526
58,2015-03-29,19421.246844047386,19444.39402747361,-23.14718342622291
59,2015-03-30,19349.84520123839,19433.741237375558,-83.89603613716827
60,2015-03-31,19368.58415649816,19362.25754056631,6.326615931851848
61,2015-04-01,19290.123456790123,19375.492168145185,-85.36871135506226
62,2015-04-02,19297.568506368196,19298.71732583172,-1.148819463523978
63,2015-04-03,19376.089905057157,19306.117755284595,69.97214977256226
64,2015-04-04,19293.84526336099,19370.09334961242,-76.24808625143123
65,2015-04-05,19334.880123743234,19302.551066568878,32.32905717435642
66,2015-04-06,19428.793471925394,19345.702080343977,83.09139158141625
67,2015-04-07,19413.70607649,19420.75897131702,-7.052894827018463
68,2015-04-08,19301.293186643506,19419.11840044939,-117.82521380588514
69,2015-04-09,19153.41888527102,19322.821294826317,-169.4024095552959
70,2015-04-10,18932.222642938283,19179.835096658306,-247.61245372002304
71,2015-04-12,18935.80761219466,18963.813424398493,-28.005812203831738
72,2015-04-13,19113.149847094803,18951.334666826464,161.81518026833874
73,2015-04-14,19131.43294432753,19095.218162386685,36.21478194084557
74,2015-04-15,19033.11762466692,19128.965786527377,-95.84816186045646
75,2015-04-16,19109.49742021785,19057.513181591352,51.984238626497245
76,2015-04-17,19201.22887864823,19117.15641301799,84.07246563024091
77,2015-04-19,19190.17463058914,19194.37721148366,-4.202580894521816
78,2015-04-20,19267.822736030826,19199.67247168129,68.15026434953688
79,2015-04-21,19394.87975174554,19274.641110297853,120.23864144768595
80,2015-04-22,19447.68572539868,19385.567133748886,62.118591649792506
81,2015-04-23,19361.08422071636,19444.87730254182,-83.79308182546083
